campaign_name,ad_group_name,component_set_id,persona,geo,lp_slug,status
GA_BA_DECK_RES_P3,Deck_Core_Residential,DECK_CORE_RES,Residential,Bay Area,deck-residential-bay-area,Active
GA_BA_SIDING_RES_P3,Siding_Core_Residential,SIDING_CORE_RES,Residential,Bay Area,siding-residential-bay-area,Active
GA_BA_STRUCT_RES_P3,Structures_Furniture_Residential,STRUCT_FURN_CORE_RES,Residential,Bay Area,exteriorwood-residential-bay-area,Active
GA_BA_CATCHALL_RES_P3,ExteriorWood_CatchAll_Residential,CATCHALL_CORE_RES,Residential,Bay Area,exteriorwood-residential-bay-area,Active
